Staffel,Thema,Begegnung,Erstellt am,Letzter post am,Posts,Views,Unterschiedliche Autoren,Likes,Wörter,Wähler gesamt

3,Überschätztestes Spiel,Community Wildcard,2019-06-06T05:56:19.946Z,2019-06-21T13:36:39.702Z,36,1644,15,57,1332,70,Skyrim,27,Life is Strange,6,The Last of Us,10,Ultima VII,3,Diablo 3,10,Persona 4,0,Divinity: Original Sin 2,5,Sonic Mania,2,Baldur’s Gate 2,0,Secret of Mana,2,Planescape Torment,3,Gothic 2,10,Undertale,8,Deus Ex,4,Resident Evil 1,0,Elite (1984),1,Myst,4,Kick Off 2,1,Half-Life 2,12,What Remains of Edith Finch,4,Heavy Rain,7,Metal Gear Solid,6,Fortnite,8,Dwarf Fortress,3,World of Warcraft,3,Mass Effect 2,4,Crysis,7,Dark Souls,16,A Way Out,1,Brothers,0,Dear Esther,3,Dungeon Keeper,3,Duke Nukem 3D,3,Red Dead Redemption 2,18,Modern Warfare 2,3
4,Bestes Spielejahr,Finale,2019-09-05T04:53:19.402Z,2021-01-14T07:51:55.561Z,140,3526,14,435,7096,56,1992,22,1998,34
4,Bestes Spielejahr,Halbfinale,2019-08-29T08:13:53.962Z,2019-09-12T07:00:06.287Z,61,2581,14,182,2846,45,1992,26,2000,19
4,Bestes Spielejahr,Halbfinale,2019-08-29T08:13:53.962Z,2019-09-12T07:00:06.287Z,61,2581,14,182,2846,47,1996,13,1998,34
4,Bestes Spielejahr,Viertelfinale,2019-08-08T05:02:17.831Z,2019-08-21T16:01:34.826Z,156,2584,24,318,8965,54,2000,31,2003,23
4,Bestes Spielejahr,Viertelfinale,2019-07-18T04:02:28.159Z,2019-08-21T05:59:22.174Z,359,4270,23,791,15322,62,1996,43,1984,19
4,Bestes Spielejahr,Viertelfinale,2019-08-01T05:53:37.021Z,2019-08-08T18:21:55.374Z,118,3017,23,321,7543,56,1992,30,2001,26
4,Bestes Spielejahr,Viertelfinale,2019-07-25T05:28:49.921Z,2019-08-01T19:03:13.655Z,211,3848,32,528,12072,68,1998,34,2007,34
4,Bestes Spielejahr,Community Wildcards,2019-07-18T06:38:08.630Z,2019-07-25T17:10:41.113Z,82,1848,19,138,4534,48,"1997 (Monkey Island 3, Fallout, AoE, Incubation)",5,"2017 (Persona 5, Horizon Zero Dawn, Hollow Knight, BotW, Cuphead)",11,"2013 (Geburt der modernenen Indie-Welle, GTA V, The Last of US)",7,"1989 (Sim City, DuckTales, Prince of Persia)",2,"1993 (Doom, DotT, Anstoss, Die Siedler, Under a Killing Moon)",4,"1994 (System Shock, Wing Commander 3, Transport Tycoon, Sim City 2000)",4,"1991 (Civilization, Monkey Island 2, Lemmings)",6,"2000 (Sims, Baldurs Gate 2, Diablo 2, Deus Ex, Counter-Strike)",15,"2004 (WoW, HL2, Vampire: The Masquerade, Halo 2, SW Battlefront, KotoR 2 …)",8,"2015 (The Witcher 3, Ori, Starcraft 2 LotV, Cities: Skylines, Bloodborne)",13,"1999 (GT2, FF8, UT, Tony Hawk, C&C3, Dungeon Keeper 2, Planescape Torment)",12,"1995 (Yoshi’s Island, Chrono Trigger, Terranigma, Rayman)",4,"2002 (Battlefield 1942, Baphomets Fluch, Morrowind, Mafia, WC3)",4,"2016 (Firewatch, Inside, Azu, Superhot, Oxenfree, Pony Island, No Man’s Sky, Layers of Fear)",4,"2003 (Max Payne 3, C&C Generals, Freelancer, Eve Online, GTA VC, KotoR, XIII, Jedi Academy, Beyond Good & Evil)",14
5,Bestes Spiel des Jahrzehnts,Finale,2020-01-10T07:12:08.728Z,2020-02-13T19:55:37.415Z,552,7579,32,1414,23143,116,Fallout: New Vegas,46,The Witcher 3,70
5,Bestes Spiel des Jahrzehnts,Halbfinale,2019-12-28T08:48:19.040Z,2020-03-12T17:55:41.830Z,257,3052,31,396,15351,79,The Witcher 3,48,Minecraft,31
5,Bestes Spiel des Jahrzehnts,Halbfinale,2019-12-28T08:48:19.040Z,2020-03-12T17:55:41.830Z,257,3052,31,396,15351,79,Fallout: New Vegas,43,Cities: Skylines,36
5,Bestes Spiel des Jahrzehnts,Viertelfinale,2019-12-11T07:37:20.671Z,2019-12-15T10:06:31.191Z,153,1989,28,264,3693,94,Cities: Skylines,49,The Last of Us,45
5,Bestes Spiel des Jahrzehnts,Viertelfinale,2019-12-13T08:17:04.425Z,2019-12-14T16:44:09.513Z,68,1372,21,93,3162,78,Minecraft,44,Darkest Dungeon,34
5,Bestes Spiel des Jahrzehnts,Viertelfinale,2019-12-12T07:46:47.033Z,2019-12-13T08:43:51.336Z,92,1470,19,151,4069,81,"Papers, Please",26,The Witcher 3,55
5,Bestes Spiel des Jahrzehnts,Viertelfinale,2019-12-10T07:01:42.228Z,2019-12-11T18:31:41.363Z,130,2001,27,259,4649,73,Frostpunk,32,Fallout: New Vegas,41
5,Bestes Spiel des Jahrzehnts,Achtelfinale,2019-11-16T14:52:47.041Z,2019-12-09T16:40:46.952Z,248,4071,32,502,11135,84,The Witcher 3,61,PUBG,23
5,Bestes Spiel des Jahrzehnts,Achtelfinale,2019-10-18T04:19:32.064Z,2019-11-30T01:44:36.187Z,356,5462,29,680,18143,79,Fallout: New Vegas,44,Rocket League,35
5,Bestes Spiel des Jahrzehnts,Achtelfinale,2019-11-07T05:35:25.846Z,2019-11-15T08:40:41.938Z,167,2769,33,346,9165,95,"Papers, Please",60,Hollow Knight,35
5,Bestes Spiel des Jahrzehnts,Achtelfinale,2019-10-25T05:31:33.097Z,2019-11-09T11:02:47.749Z,212,3637,26,450,8448,73,Cities: Skylines,37,Banner Saga,36
5,Bestes Spiel des Jahrzehnts,Achtelfinale,2019-10-31T05:30:39.783Z,2019-11-08T06:56:02.577Z,250,4314,35,402,11899,95,Dota 2,37,The Last of Us,58
5,Bestes Spiel des Jahrzehnts,Achtelfinale,2019-10-10T04:32:06.900Z,2020-01-16T12:24:50.978Z,107,2186,27,282,5431,76,Kentucky Route Zero,32,Frostpunk,44
