"Rogue",1980,"https://www.mobygames.com/game/rogue",62,70.00
"Skiing",1980,"https://www.mobygames.com/game/skiing",10,58.00
"Wizard of Wor",1980,"https://www.mobygames.com/game/wizard-of-wor",26,72.00
"Zork: The Great Underground Empire",1980,"https://www.mobygames.com/game/zork-the-great-underground-empire",167,70.00
"Ali Baba and the Forty Thieves",1981,"https://www.mobygames.com/game/ali-baba-and-the-forty-thieves",10,70.00
"Amidar",1981,"https://www.mobygames.com/game/amidar",14,60.00
"Apple Panic",1981,"https://www.mobygames.com/game/apple-panic",16,66.00
"Astrosmash",1981,"https://www.mobygames.com/game/astrosmash",24,70.00
"Castle Wolfenstein",1981,"https://www.mobygames.com/game/castle-wolfenstein",47,70.00
"Centipede",1981,"https://www.mobygames.com/game/centipede_",111,72.00
"Crossfire",1981,"https://www.mobygames.com/game/crossfire",21,70.00
"Crush, Crumble and Chomp!",1981,"https://www.mobygames.com/game/crush-crumble-and-chomp",12,64.00
"David's Midnight Magic",1981,"https://www.mobygames.com/game/davids-midnight-magic",11,74.00
"Defender",1981,"https://www.mobygames.com/game/defender",123,76.00
"The Demon's Forge",1981,"https://www.mobygames.com/game/demons-forge",27,38.00
"Donkey Kong",1981,"https://www.mobygames.com/game/donkey-kong",269,68.00
"Freeway",1981,"https://www.mobygames.com/game/freeway",23,62.00
"Frogger",1981,"https://www.mobygames.com/game/frogger",150,76.00
"Galaga",1981,"https://www.mobygames.com/game/galaga",73,74.00
"Galaxy",1981,"https://www.mobygames.com/game/galaxy",17,66.00
"Gorf",1981,"https://www.mobygames.com/game/gorf",22,68.00
"Haunted House",1981,"https://www.mobygames.com/game/haunted-house",25,66.00
"Hi-Res Adventure #4: Ulysses and the Golden Fleece",1981,"https://www.mobygames.com/game/hi-res-adventure-4-ulysses-and-the-golden-fleece",22,78.00
"Ice Hockey",1981,"https://www.mobygames.com/game/ice-hockey_",10,64.00
"Kaboom!",1981,"https://www.mobygames.com/game/kaboom",37,68.00
"Lady Bug",1981,"https://www.mobygames.com/game/lady-bug",10,76.00
"Laser Blast",1981,"https://www.mobygames.com/game/laser-blast",16,50.00
"Lock 'n' Chase",1981,"https://www.mobygames.com/game/lock-n-chase",20,64.00
