"World Series Baseball","https://www.kultboy.com/testbericht-uebersicht/3036/",66,,,,,,,,,,,,,,,66.00,
"Super Huey: Hubschrauber Flug Simulator","https://www.kultboy.com/testbericht-uebersicht/3049/",66,,,,,,,,,,,,,,,66.00,
"Crystal Castles: Diamond Plateaus in Space","https://www.kultboy.com/testbericht-uebersicht/3016/",40,,,,,36,,,,,,,,,,38.00,
"Grand Monster Slam","https://www.kultboy.com/testbericht-uebersicht/669/",79,,,,75,,,,,,,,,79,74,77.67,77.67
"Sagor der Eroberer","https://www.kultboy.com/testbericht-uebersicht/5467/",66,,,,,,,,,,,,,,,66.00,
"First Samurai","https://www.kultboy.com/testbericht-uebersicht/468/",80,,,82,75,,,,,,80,,,80,77,79.40,79.40
"Budokan: The Martial Spirit","https://www.kultboy.com/testbericht-uebersicht/6/",73,,63,74,83,,,,,,,,80,73,81,74.33,74.33
"Creatures II: Torture Trouble","https://www.kultboy.com/testbericht-uebersicht/2317/",78,,,,58,,,,,,,,79,78,,73.25,73.25
"Born in Space","https://www.kultboy.com/testbericht-uebersicht/3233/",90,,,,,,,,,,,,,,,90.00,
"The Curse of RA","https://www.kultboy.com/testbericht-uebersicht/1107/",68,,,68,58,,,,,,,,,70,,66.00,66.00
"Elvira II: The Jaws of Cerberus","https://www.kultboy.com/testbericht-uebersicht/53/",72,,,86,75,,,,,,86,,76,72,85,77.83,77.83
"Bug Bomber","https://www.kultboy.com/testbericht-uebersicht/1361/",64,,,64,50,,,,,,,,,76,,63.50,63.50
"Rubicon","https://www.kultboy.com/testbericht-uebersicht/1003/",64,,,55,50,,,,,,,,,60,,57.25,57.25
"Smash T.V.","https://www.kultboy.com/testbericht-uebersicht/840/",65,,,59,8,,,,,,,,,63,70,48.75,48.75
"Puzznic","https://www.kultboy.com/testbericht-uebersicht/939/",67,,,86,83,,,,,,,,,67,78,75.75,75.75
"Saint Dragon","https://www.kultboy.com/testbericht-uebersicht/484/",86,,,86,58,,,,,,,,,57,75,71.75,71.75
"Atomino","https://www.kultboy.com/testbericht-uebersicht/1192/",80,,,83,83,,,,,,,,,80,80,81.50,81.50
"Last Ninja 3: Real Hatred is Timeless","https://www.kultboy.com/testbericht-uebersicht/1164/",90,,61,22,58,,,,,,,,,53,58,56.80,56.80
